ID	NAME	kegg_merge_filter_human_081A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_082A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_083A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_084A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_085A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_086A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_091A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_093A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_094A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_098A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_099A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_100A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_101A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_107A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_108A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_109A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_10A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_116A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_118A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_119A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_11A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_120A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_13A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_15A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_18A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_1A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_20A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_21A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_24A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_25A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_28A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_29A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_31A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_34A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_35A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_37A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_39A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_3A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_6A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_7A-hit-keg-mpm-cop-nul-nve-nve
M00082	M00082: Fatty acid biosynthesis, initiation	0.000104038	0.000123044	0.000600806	1.88253e-05	1.77324e-05	3.1135e-05	1.11641e-05	0.000130149	0.000103199	0.000188728	0.000345583	0.000177337	0.000191242	2.04365e-05	4.38353e-05	6.98766e-05	0.000219021	0.000205386	1.47876e-05	0.000182236	8.06884e-05	6.22072e-05	5.3334e-05	0.000156701	2.94257e-05	0.000141958	0.000370514	0.000157973	5.2383e-05	0.00017864	3.18759e-07	1.10326e-05	8.16815e-06	0.000436468	7.18958e-07	1.73621e-05	0.000115749	5.13599e-05	4.55144e-06	0.000205598
M00333	M00333: Type IV secretion system	0.000433045	0.000834108	0.00107391	0.000646515	0.000689059	0.00114905	0.000421229	0.00126758	0.00123331	0.000941516	0.000586241	0.000843631	0.00125048	0.000520175	0.000460357	0.000627819	0.000613702	0.000975517	0.000695066	0.000478454	0.000736431	0.000985012	0.000842713	0.000526148	0.000441889	0.000768734	0.0012656	0.000809964	0.000685803	0.000738831	4.44543e-05	0.00112431	1.30658e-08	4.11563e-08	0.000976943	0.000978275	3.29338e-05	0.000446512	0.00101784	0.000730967
M00332	M00332: Type III secretion system	0	7.89006e-13	2.05421e-09	0	8.51725e-14	0	6.35431e-14	1.76836e-06	0	1.76969e-06	6.17541e-05	1.51356e-17	0	2.45191e-12	2.30889e-13	6.53038e-08	7.88844e-13	1.41167e-19	0	1.43457e-09	1.00528e-10	2.00939e-08	0	1.65248e-13	1.31291e-12	6.26163e-12	2.71683e-16	1.59936e-09	8.61987e-27	3.40617e-07	0	2.11119e-90	6.13045e-12	1.3815e-13	6.17404e-18	0	8.35062e-09	0	1.99379e-14	8.41733e-60
M00331	M00331: Type II general secretion system	9.59935e-05	9.43557e-06	3.01768e-06	0.00242812	0.000179257	1.71805e-06	1.62359e-07	0.000864267	6.78173e-09	2.34908e-06	8.98877e-13	2.73441e-16	2.56616e-09	2.85205e-05	5.11737e-06	0.0004133	0.00012434	9.96389e-13	1.99935e-08	0.00103383	1.16028e-10	0.000167015	9.13275e-12	0.000464171	9.73565e-12	1.19275e-05	7.7785e-05	3.86636e-07	3.59729e-05	1.89054e-05	0.000172297	0.000806046	2.11436e-06	1.85706e-05	0.00201245	0.00112726	0.000765127	6.71586e-10	4.36605e-06	4.43266e-08
M00337	M00337: Immunoproteasome	7.42433e-60	0	0	2.59152e-16	0	2.07798e-15	0	0	0	2.23667e-30	4.9998e-62	2.7032e-12	0	8.20588e-58	9.83248e-36	3.48744e-107	4.9698e-22	0	1.0116e-11	9.56743e-35	1.96874e-15	1.18624e-17	1.69019e-37	0	1.20362e-13	3.38045e-44	0	1.70303e-64	4.78321e-18	9.57257e-48	4.5911e-20	6.2226e-33	0	5.79123e-67	0	1.63959e-15	0	1.11938e-55	2.2933e-108	3.53048e-29
M00336	M00336: Twin-arginine translocation (Tat) system	0.00128775	3.24443e-11	0.00131719	0.00186799	2.73428e-07	0.000905808	6.13515e-07	1.7947e-09	0.000350114	1.96492e-05	0.000250781	4.78157e-08	4.05412e-10	0.00693873	0.0067158	0.00186827	1.037e-09	2.52206e-09	4.76622e-30	0.00522253	0.00129658	0.000103187	4.60131e-13	0.000690598	0.000623658	0.00081586	0.000696314	4.64364e-05	9.11149e-06	0.000251807	2.0559e-07	0.00190653	0.000123563	0.000760356	0.00498052	0.00263811	2.67049e-07	1.29337e-06	0.000426959	6.40267e-12
M00335	M00335: Sec (secretion) system	0.00440847	0.00606913	0.00359717	0.0106084	0.00911759	0.00460259	0.0041397	0.00170624	0.00557274	0.00567147	0.00385888	0.000399142	0.00376854	0.0138228	0.0144959	0.00880111	0.00451435	0.00391861	0.00217079	0.0134569	0.00454237	0.00515325	0.00338839	0.00475169	0.00294371	0.00567394	0.00337337	0.00646158	0.00287093	0.00414355	0.00359863	0.00715235	0.00236873	0.00421682	0.011056	0.00872997	0.0041775	0.00218461	0.00527342	0.00341846
M00334	M00334: Type VI secretion system	6.5182e-14	6.05758e-07	1.86999e-18	8.55037e-14	5.21346e-11	4.77855e-05	1.4833e-06	3.46333e-08	1.00177e-10	3.67659e-07	6.33033e-20	5.26275e-13	0	6.68866e-37	1.768e-13	2.07182e-19	1.30592e-08	5.21411e-10	2.0558e-11	1.17229e-19	9.98812e-28	7.25851e-14	3.96106e-20	7.56379e-06	1.93891e-19	3.30121e-16	2.72258e-12	5.81856e-29	8.72502e-11	1.81302e-09	2.25834e-11	1.22377e-14	8.18039e-13	2.23301e-17	4.5445e-14	1.7936e-05	5.17713e-17	1.91175e-08	4.72672e-27	4.89485e-11
M00239	M00239: Peptides/nickel transport system	0.012049	0.0108718	0.0105859	0.0115104	0.00868938	0.0106907	0.0108423	0.00945926	0.010014	0.011163	0.0109304	0.0111342	0.00954092	0.0106547	0.0107097	0.0111446	0.0150551	0.0112289	0.0101736	0.0115252	0.00926712	0.0120484	0.0104886	0.0107231	0.00977097	0.0117542	0.00995816	0.00982619	0.0133587	0.0107365	0.00868995	0.00921409	0.00792647	0.0134824	0.00846904	0.0106477	0.0111689	0.00976488	0.009991	0.0149963
M00232	M00232: General L-amino acid transport system	0.00126864	0.00139036	0.00124551	0.00277669	0.0013373	0.00118937	0.00107953	0.00150806	0.000893233	0.00143098	0.000947744	0.00141303	0.0012073	0.00613369	0.00546579	0.00222367	0.00126526	0.00135121	0.000887899	0.00487207	0.00172398	0.00175832	0.00131305	0.00140863	0.00249877	0.0012519	0.00124864	0.00135338	0.00111352	0.00145339	0.00120158	0.00115349	0.00112879	0.00205534	0.0019382	0.00160146	0.0019983	0.00114423	0.00124061	0.0013896
M00233	M00233: Glutamate transport system	0.000307894	0.000376792	0.000677292	0.000392626	0.000144894	0.000252791	0.000564979	0.000154595	0.000527611	0.00030767	0.000151353	1.09891e-05	0.000705354	0.000137563	0.000237842	0.000421792	0.000941486	0.000258254	0.000615457	0.000385227	0.000312105	0.000493581	0.000437681	0.000710249	0.000549022	0.000950832	0.000875203	0.000567516	0.000475606	0.000189213	7.58074e-05	3.43778e-05	8.54001e-05	0.00192291	0.000132981	0.000380921	0.000517857	0.000668766	0.000349939	0.000108059
M00230	M00230: Glutamate/aspartate transport system	0.000762984	0.00065974	0.000757506	0.00216465	0.0009867	0.000682018	0.000749833	0.000625752	0.000491992	0.000660378	0.000689873	0.000634797	0.000799065	0.00515051	0.00419499	0.0019758	0.000797301	0.000670253	0.000506143	0.00369132	0.0012173	0.000873432	0.000864218	0.00117854	0.00181937	0.00166223	0.00102381	0.00116812	0.00066133	0.000664206	0.000599373	0.00157626	0.00128518	0.000942661	0.00208588	0.00189243	0.00131183	0.000981795	0.000717914	0.00100351
M00231	M00231: Octopine/nopaline transport system	2.54864e-14	1.28266e-07	6.87295e-12	8.65913e-09	1.15605e-07	3.04669e-12	2.4232e-10	2.39576e-27	7.96703e-23	7.54332e-12	1.73593e-12	3.24201e-10	5.05774e-09	5.43002e-06	2.56373e-06	1.18017e-06	4.12957e-13	3.60559e-13	2.3821e-15	2.31684e-06	3.98119e-14	2.27745e-21	5.44863e-16	1.76144e-13	2.09186e-12	6.84568e-10	2.06058e-14	1.64021e-10	1.27795e-11	1.47334e-10	3.58299e-15	5.89199e-08	2.40973e-20	2.25498e-16	5.45464e-12	5.08038e-07	5.79263e-10	8.78823e-10	1.34932e-11	3.01691e-21
M00237	M00237: Branched-chain amino acid transport system	0.00656363	0.00548871	0.0055741	0.00624862	0.00509055	0.00496539	0.00596882	0.00461721	0.00471388	0.00705226	0.00522835	0.00711825	0.00534605	0.00638616	0.00643969	0.00681778	0.00846201	0.00543494	0.00462871	0.00814872	0.00505365	0.00667908	0.00540291	0.00561216	0.00559197	0.00716008	0.00523138	0.00591804	0.0080076	0.00499256	0.00492873	0.00509257	0.00464191	0.00691182	0.00492671	0.00656367	0.00501484	0.00551216	0.00565889	0.00844449
M00235	M00235: Arginine/ornithine transport system	3.59918e-11	3.09723e-13	8.10746e-11	6.16586e-07	7.40301e-10	8.16902e-11	2.72381e-10	2.82012e-14	6.86963e-18	4.93225e-12	1.17744e-13	2.69725e-15	4.14622e-12	0.000160393	0.000109736	1.62271e-08	2.84895e-08	3.33187e-18	2.0676e-12	3.58883e-05	3.82696e-14	3.02954e-11	4.37352e-15	1.20491e-10	5.44066e-13	2.56842e-08	1.36008e-12	6.29044e-10	1.13727e-12	1.19026e-14	1.256e-14	1.0867e-09	1.20932e-13	4.84395e-10	3.02276e-06	1.2018e-07	2.71002e-10	6.67782e-12	1.34199e-13	3.40519e-09
M00346	M00346: Formaldehyde assimilation, serine pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00347	M00347: Methanogenesis, formate => methane	1.17718e-09	3.48624e-21	4.09436e-75	4.44139e-10	2.43967e-13	2.73004e-09	1.08801e-17	3.31271e-16	2.06484e-17	3.14992e-09	3.8852e-13	2.47304e-13	4.35711e-18	7.89963e-56	6.70813e-68	5.49781e-44	3.01892e-11	1.4405e-11	0	1.24239e-11	1.98786e-11	2.07295e-08	2.33782e-54	1.59151e-13	3.13407e-14	6.56107e-20	3.83755e-18	6.81838e-10	8.38832e-10	1.45115e-13	3.89165e-14	7.81589e-43	7.60585e-47	7.15585e-17	2.0366e-12	0	7.65826e-14	6.31257e-14	6.85446e-15	3.29618e-15
M00342	M00342: Bacterial proteasome	3.39276e-05	0.00019365	0.000738615	0.000368292	0.0001101	0.00029511	3.62284e-05	0.000282111	0.000477546	4.51381e-05	0.000305231	0.000341922	0.000535916	9.5833e-05	8.82882e-05	0.000563305	0.000564212	0.000289028	0.000130315	0.000389867	0.000311556	0.000371001	0.000136327	0.000264333	7.05401e-05	0.000205364	0.000674537	0.000109099	0.000300116	0.000474844	0.000232573	0.000114714	5.75527e-05	0.00100249	0.000151054	0.000154121	0.000183101	2.73021e-05	0.000387483	0.000288359
M00340	M00340: Proteasome, 20S core particle	0.000190194	0.000476629	0.000589497	0.000484131	1.62134e-05	0.000566444	0.000512666	8.56947e-05	1.95453e-12	0.000565964	3.25487e-05	0.000447267	0.000597348	0.00028525	0.000274267	0.000504458	0.000316284	0.000406881	0.000355103	9.59482e-05	0.000787514	0.000544443	0.000556787	0.00044661	0.000551962	0.0003207	0.000566606	0.000413671	0.000579015	0.000466847	0.000575627	0.000659312	0.000542694	0.000458179	6.75651e-05	0.000612562	0.000589839	8.69644e-05	0.000461963	0.000397801
M00341	M00341: Proteasome, 19S regulatory particle (PA700)	3.41748e-06	3.82059e-09	1.23608e-41	4.06746e-10	7.403e-09	1.16216e-11	1.77601e-07	6.99039e-16	0	4.80682e-14	2.95969e-13	4.12384e-08	2.5925e-11	1.22465e-10	4.4025e-06	5.94293e-08	1.19705e-12	1.33945e-05	2.67241e-05	3.02122e-06	1.11875e-16	5.72907e-11	3.65211e-07	9.30874e-05	6.5773e-09	5.95412e-41	5.1108e-18	9.65149e-06	1.39028e-46	3.25376e-08	1.71681e-38	2.30255e-24	2.25496e-08	5.19139e-05	2.85101e-13	1.50607e-06	1.82323e-07	8.26003e-12	1.60122e-44	4.63566e-18
M00348	M00348: Glutathione transport system	0.00133579	0.000988676	0.00110985	0.00227852	0.000927113	0.00119964	0.00109128	0.00135935	0.00122482	0.00121415	0.00157886	0.00121967	0.00102857	0.00476926	0.00389408	0.00198176	0.00162546	0.00200218	0.000961388	0.00355643	0.00102024	0.00119838	0.00132356	0.0013994	0.00108535	0.00136378	0.00126135	0.00141524	0.00163916	0.00136604	0.00083532	0.00115715	0.000765337	0.00115621	0.00181247	0.00150937	0.00156349	0.000982057	0.00104885	0.00157786
M00349	M00349: Microcin C transport system	0.00138216	0.00114916	0.00136411	0.00237659	0.00107252	0.00130365	0.00124043	0.00119536	0.00122417	0.00121332	0.00121741	0.00131396	0.00124074	0.00549255	0.00476012	0.00182425	0.00117099	0.00137983	0.00118282	0.0042977	0.00126629	0.00129106	0.00107168	0.00176153	0.00109858	0.00149	0.00137755	0.00120712	0.00150756	0.00124292	0.00107047	0.00170524	0.000840589	0.00127982	0.00217826	0.00192206	0.00113295	0.00100031	0.0011869	0.00130007
M00162	M00162: Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95928e-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00163	M00163: Photosystem I	0	5.45878e-36	0	0	1.62807e-10	0	0	0	0	0	1.88983e-62	2.27366e-12	0	2.00555e-46	1.46042e-37	0	8.01442e-08	1.66696e-12	0	4.34017e-21	1.17882e-55	2.21146e-07	0	0	0	4.71468e-20	0	0	8.64015e-07	0	0	4.87635e-67	6.66328e-25	8.88164e-15	4.43229e-42	1.00602e-23	5.67118e-08	0	1.25694e-10	1.42453e-08
M00166	M00166: Reductive pentose phosphate cycle, RuBP + CO2 => glyceraldehyde-3P	0.00175459	0.00114615	0.00128024	0.00104951	0.00134888	0.00178584	0.00156908	0.00192264	0.00143875	0.00146459	0.00124133	0.00118993	0.00138256	0.000881493	0.00101664	0.00120278	0.001379	0.0017611	0.00131274	0.00110549	0.00104633	0.00122264	0.0011641	0.00135763	0.00184334	0.00104342	0.00216107	0.00132752	0.00167549	0.00155558	0.00169684	0.00199484	0.000971839	0.00127382	0.00125529	0.00153025	0.00150003	0.00106371	0.00142463	0.00119839
M00167	M00167: Reductive pentose phosphate cycle, glyceraldehyde-3P => RuBP	1.05602e-05	0.000183835	1.28638e-05	0.000659387	0.00258134	0.000723358	8.52851e-06	0.00119107	1.09804e-05	4.01642e-06	0.00186538	0.00134451	0.000218305	0.00268059	0.00229809	0.000535048	0.000384681	0.000614373	0.000882111	0.00209044	0.000199587	5.59141e-05	0.000108845	5.33074e-07	0.000159097	0.00171858	0.00160095	0.00122606	0.000625188	0.000120793	0.00212309	0.00288696	0.00199576	2.11255e-05	0.0030574	0.00253884	0.00049826	0.00231153	4.19536e-07	1.01881e-08
M00164	M00164: ATP synthase	0.0333179	0.0282697	0.0285872	0.0276828	0.0315178	0.0300361	0.0300574	0.0240766	0.0255102	0.02742	0.0267845	0.0272983	0.0254347	0.0191714	0.0227199	0.0269768	0.0322323	0.0225365	0.0298045	0.0199632	0.0300574	0.0287604	0.0277523	0.0265843	0.0251073	0.0285901	0.0259566	0.026787	0.0246286	0.0268196	0.0293285	0.0257029	0.0300193	0.0307247	0.0279162	0.0280955	0.0306199	0.0320677	0.0274771	0.0331163
M00165	M00165: Reductive pentose phosphate cycle (Calvin cycle)	1.43578e-05	0.000206907	1.64438e-05	0.00063416	0.00189051	0.0007857	1.14154e-05	0.00120612	1.43261e-05	5.37383e-06	0.00148962	0.00117162	0.000251726	0.0015752	0.00156405	0.000550509	0.000431522	0.000674707	0.000859609	0.00153563	0.000217624	6.82961e-05	0.000125044	7.22811e-07	0.000200083	0.00132295	0.00157113	0.00112598	0.000682407	0.000150322	0.00181578	0.0023562	0.0014145	2.67346e-05	0.00201059	0.00196803	0.000549491	0.00159936	5.78479e-07	1.4252e-08
M00287	M00287: PTS system, galactosamine-specific II component	0.000516749	0.00061825	0.000342078	0.00178463	5.67147e-06	0.000221856	8.45724e-05	0.000245262	9.73898e-05	0.000614061	0.000649773	4.71711e-05	0.000126297	0.0047053	0.00366439	0.000448261	0.000540856	0.000380231	0.000337034	0.00324121	0.000374158	0.000850226	0.000522136	0.000447126	0.000235956	0.000637873	0.000437983	0.000138527	0.000381496	0.000582777	0.000377695	0.000125393	0.00012666	0.000829927	0.000911106	0.000533623	0.000846325	0.000484551	0.000451467	0.00103226
M00286	M00286: GINS complex	0.000811141	0.000848341	0.000740062	0.000757245	0.000377782	0.000692735	0.000691418	0.00104686	0.000526038	0.000829555	0.000681988	0.000903545	0.000975068	0.00042667	0.000652253	0.000878945	0.000585521	0.00126865	0.000887168	0.000637303	0.000771085	0.000582243	0.000977073	0.000700883	0.00116753	0.000516048	0.000789852	0.000746237	0.00083922	0.000554273	0.000899395	0.000607381	0.000969671	0.000730883	0.000685483	0.00063938	0.000704189	0.00052147	0.000511735	0.00068973
M00285	M00285: MCM complex	0.000502526	0.000470788	0.000453549	0.000413319	3.76514e-05	0.000404148	0.000465932	0.000470241	0.000255224	0.000517936	0.000319877	0.000495401	0.000510715	0.000272496	0.000330074	0.000442181	0.000451165	0.000195096	0.00049628	0.00036463	0.000530736	0.000519421	0.000471594	0.0005097	0.000532928	0.000303522	0.000428311	0.000532962	0.00052586	0.000421478	0.000296405	0.000407829	0.000316684	0.000405279	0.000382834	0.000279147	0.000465254	0.000291241	0.000450457	0.000466008
M00284	M00284: Origin recognition complex	0.000609855	0.000513385	0.000737999	0.000327099	0.000339915	0.000542965	0.000732996	0.00067971	0.00059889	0.000664339	0.000103045	0.000348684	0.000439151	0.000345197	5.21154e-06	3.32168e-06	0.000446281	0.00056875	0.000623275	0.000344503	0.000317402	0.000432731	0.000692706	0.00063512	0.000587869	0.000585806	0.000502577	0.000684572	0.000734638	0.000641903	1.71821e-05	1.95718e-05	2.12294e-05	0.000442685	6.47654e-06	0.000326543	1.59445e-07	0.000464785	0.000446242	0.000523978
M00049	M00049: Adenine nucleotide biosynthesis, IMP => ADP/dADP,ATP/dATP	0.0227737	0.0223218	0.0241622	0.0207092	0.0181567	0.0222377	0.0201208	0.0241311	0.0244008	0.0219189	0.0238531	0.020897	0.0227292	0.0196918	0.0223498	0.0214679	0.0204785	0.0194072	0.0185076	0.0206867	0.0245725	0.0223085	0.0241383	0.0217187	0.0223027	0.0202697	0.0203649	0.0228718	0.0207317	0.0231678	0.0208108	0.0184747	0.020137	0.0223615	0.0181276	0.0182872	0.0234083	0.0158106	0.0216119	0.0208125
M00048	M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.0239493	0.0248775	0.0237005	0.0227662	0.0258447	0.0224737	0.023472	0.0242713	0.0242334	0.0248615	0.0213509	0.0245375	0.0247012	0.0200249	0.0204717	0.024764	0.0257581	0.0219886	0.0225222	0.0219463	0.0275677	0.0261786	0.0237516	0.0239179	0.0258753	0.0267708	0.0241039	0.0257648	0.025068	0.0236941	0.0251099	0.0260579	0.0269381	0.0245092	0.0248902	0.0259987	0.0232035	0.0270617	0.0237762	0.0231085
M00045	M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.00705905	0.00381313	0.00430807	0.00366348	0.0046187	0.00341301	0.00474265	0.00529582	0.00465667	0.00594433	0.00423957	0.00525664	0.0072107	0.00350326	0.00421543	0.0053921	0.00392026	0.00583304	0.00472818	0.00378463	0.004128	0.00494113	0.00477417	0.00520654	0.00583805	0.00510545	0.00496006	0.00722882	0.00551509	0.00482136	0.0044804	0.00444695	0.00312845	0.00421094	0.00396703	0.00385046	0.00383674	0.00379538	0.00412124	0.00393091
M00044	M00044: Tyrosine degradation, tyrosine => homogentisate	6.29913e-20	3.76916e-09	6.62834e-51	4.7164e-34	1.4542e-42	5.62188e-11	4.57955e-17	8.89725e-20	4.60823e-17	5.42876e-48	1.66996e-22	7.08468e-47	9.38987e-45	1.9275e-05	3.21815e-07	1.5518e-16	6.05042e-17	1.12339e-53	4.84189e-13	2.55425e-34	3.44693e-11	1.09541e-13	3.21476e-17	7.68624e-08	9.84039e-14	7.30231e-20	9.82209e-10	3.21845e-13	2.63142e-14	2.03143e-09	9.73103e-14	1.42361e-20	5.61115e-20	4.81887e-62	6.95836e-17	1.43392e-14	4.90195e-16	3.40348e-20	7.93821e-20	2.47189e-11
M00046	M00046: beta-Alanine biosynthesis, cytosine / uracil => beta-alanine	0.00118899	0.00147868	0.00129282	0.0011002	0.000904464	0.00116723	0.0013172	0.00141493	0.00147272	0.00128134	0.00112058	0.00151708	0.00140299	0.00187143	0.00172899	0.00160995	0.00137575	0.00136116	0.00149012	0.00164112	0.0012139	0.00138724	0.00140968	0.00183854	0.00138935	0.00109353	0.00133449	0.00161723	0.00134133	0.00114472	0.00167448	0.00163629	0.0014138	0.00142835	0.00107661	0.00139203	0.001534	0.00123282	0.00166712	0.0012516
M00042	M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	4.27051e-06	1.41222e-05	7.9717e-15	1.30996e-06	1.92762e-12	5.57609e-69	3.23566e-06	3.8904e-13	6.6725e-48	3.5136e-11	1.42529e-10	1.43123e-06	1.84849e-07	4.28112e-14	2.5793e-16	7.57793e-10	1.18139e-06	6.563e-07	0.000258819	2.08994e-07	1.15438e-72	2.73674e-12	1.27289e-11	2.96681e-09	7.10437e-06	7.49438e-16	2.15155e-11	1.25151e-09	3.06436e-05	1.87153e-36	8.55342e-11	8.16882e-07	4.71772e-82	7.91764e-08	2.35767e-07	3.33308e-10	1.09743e-06	8.93347e-08	8.56861e-05	7.41111e-07
M00261	M00261: DNA polymerase alpha / primase complex	0.000777032	0.000822024	0.000926494	0.000724418	0.000604699	0.000908116	0.000929537	0.000856363	0.000930411	0.000907309	0.000801738	0.00085813	0.000885259	0.000593421	0.000651987	0.000785794	0.000795879	0.000764248	0.000682362	0.000572483	0.000631024	0.000797365	0.00103533	0.000850765	0.000981808	0.00102366	0.000796173	0.000788758	0.000785693	0.000741996	0.00103187	0.000832601	0.00106984	0.00085038	0.000691966	0.000624989	0.000912617	0.000644623	0.000814532	0.000936545
M00260	M00260: DNA polymerase III complex, bacteria	0.00183022	0.00433985	0.00301869	0.00667832	0.00243985	0.00670796	0.00251659	0.0048049	0.00321306	0.00278777	0.00399094	0.00339979	0.00271196	0.0129184	0.0120957	0.00596322	0.00285885	0.00359473	0.00302993	0.01163	0.00431363	0.00347628	0.00163151	0.00438175	0.00327837	0.00426286	0.00298414	0.00508465	0.00403511	0.00373251	0.00335727	0.00555801	0.00223806	0.00209769	0.00759258	0.00707811	0.00321385	0.00273257	0.00448292	0.00203746
M00263	M00263: DNA polymerase epsilon complex	0.000162005	0.000147816	5.28501e-09	2.77741e-08	4.90509e-07	1.12493e-07	2.96311e-09	8.1885e-08	3.62508e-07	1.2548e-05	2.5701e-05	7.60314e-11	2.62731e-07	4.48303e-16	5.55329e-08	1.60552e-10	5.02215e-05	0.000386233	5.04188e-06	8.28667e-11	0.000254482	5.34188e-07	3.70022e-10	9.54737e-08	4.99871e-12	3.10326e-06	7.69797e-12	9.55791e-05	4.6542e-09	1.36928e-06	1.22212e-06	7.17739e-08	2.54715e-09	3.77905e-18	1.80507e-08	2.78481e-09	0.000128473	4.01534e-12	1.01279e-05	7.63159e-07
M00262	M00262: DNA polymerase delta complex	0.000105116	4.64996e-07	4.68843e-08	1.13288e-05	1.00247e-06	0.000145655	0.000318686	0.000212599	1.69873e-11	0.000198703	1.39266e-07	0.00031751	0.000138818	2.24401e-07	3.13348e-06	2.96903e-06	0.000160369	1.52927e-07	0.000166547	6.39859e-07	3.69253e-05	1.36136e-05	2.82589e-06	0.000407672	3.34268e-06	3.64397e-05	1.30558e-05	0.000111849	0.000301303	0.000101844	5.21112e-06	8.97224e-10	9.47727e-08	0.000177015	3.32316e-08	4.24274e-05	3.37423e-05	4.62883e-07	0.000158999	6.26305e-05
M00302	M00302: 2-Aminoethylphosphonate transport system	4.29383e-11	4.43614e-16	6.07718e-11	2.41292e-09	4.16114e-08	5.65359e-06	9.61618e-10	1.4259e-22	3.1143e-08	3.38296e-10	1.07009e-12	2.41333e-05	2.75754e-14	1.38019e-07	2.90014e-09	0.000257793	1.17266e-06	1.3155e-10	5.82945e-15	4.95125e-07	0.000232481	1.80179e-08	5.99869e-07	2.37707e-05	3.42078e-16	0.000282311	3.50094e-10	3.58766e-09	2.47775e-10	6.60059e-11	5.57489e-08	0.000756849	5.97728e-08	4.55959e-08	0.000718316	0.000985395	1.85631e-06	8.45782e-11	1.19841e-11	8.59141e-09
M00300	M00300: Putrescine transport system	0.00284611	0.00285927	0.00255839	0.0042923	0.00362672	0.00266864	0.00288594	0.00233829	0.00235761	0.00301953	0.00295111	0.00334208	0.0025956	0.00683267	0.00627533	0.00323783	0.00283018	0.00292387	0.00294789	0.0054204	0.00237712	0.00286319	0.00304432	0.00271749	0.00292908	0.00422083	0.00284592	0.00229028	0.00270064	0.00278557	0.00288269	0.00291306	0.0029146	0.00298354	0.00382068	0.00412483	0.00277201	0.00333912	0.00312616	0.00313398
